Título,Preço,Área,Preço por m²,Detalhes,Descrição 1,Descrição 2,Descrição 3
"SQSW 500 Bloco Q
                                    SUDOESTE, BRASILIA",,175,Preço ou área indisponível,"175 m²

4 quartos

1 planta",Preciosidade em cada detalhe,Descrição não encontrada,Apartamento 175 m²
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",2149000,407,"5.280,10","407 m²


4 Quartos


4 Suítes


3 Vagas",(61) 3595-1212 CASA/ 4 SUITES/  MODERNA/ JARDIM BOTANICO 3595-1212,"A GM Imóveis vende, casa no condomínio Solar de Brasilia, um dos melhores locais para se viver no DF! 
 
Condomínio regu... 10/12/24",Venda Casa Condominio 407 m²
"Condomínio Santa Bárbara, JARDIM BOTANICO, BRASILIA",1790000,360,"4.972,22","360 m²


5 Quartos


3 Suítes


2 Vagas",Condomínio Santa Bárbara Com habite-se - Aceita financiamento,"Daniel Ferreira Vende: Casa com 4 quartos, sendo 3 suítes + Escritório + DCE. Com escritura e registro e habite-se (Acei... 10/12/24",Venda Casa Condominio 360 m²
"SQNW 306, NOROESTE, BRASILIA",2100000,128,"16.406,25","128 m²


3 Quartos


3 Suítes


3 Vagas",Imobiliária Noroeste -Apartamento Noroeste à venda,"APARTAMENTO REFORMADO NO TOPO DO NOROESTE: Imóvel com 128m2, 3 suítes e 3 vagas de garagem.

Viva num apartamento finame... 10/12/24",Venda Apartamento 128 m²
"SGCV
                                    PARK SUL, BRASILIA",950000,62,"15.322,58","62 m²

2 quartos

3 plantas",Essencial pra você,Descrição não encontrada,Apartamento 62 m²
"SMPW Quadra 15, PARK WAY, BRASILIA",3190000,666,"4.789,79","666 m²


5 Quartos


3 Suítes


6 Vagas",Saint Tropez - Nascente - Park Way,"Casa em condomínio de alto padrão - Saint Tropez

Se você busca paz e tranquilidade, este imóvel é o seu destino perfeit... 10/12/24",Venda Casa 666 m²
"SMPW Quadra 26, PARK WAY, BRASILIA",2250000,700,"3.214,29","700 m²


4 Quartos


4 Suítes


4 Vagas",- OPORTUNIDADE COM HABITE-SE,"LUCAS BORDALO VENDE COM EXCLUSIVIDADE - SMPW QD 26 - COM HABITE-SE 

Em uma das quadras cobiçadas do Park Way, situada n... 10/12/24",Venda Casa Condominio 700 m²
"SMPW Quadra 16, PARK WAY, BRASILIA",3400000,1050,"3.238,10","1050 m²


5 Quartos


1 Suíte


6 Vagas","- LOTE 5.000m2, habite-se","LUCAS BORDALO VENDE - QD 16 - RARIDADE

Em um enclave de luxo, situado na prestigiada quadra 16 do Park Way, encontra-se... 10/12/24",Venda Casa Condominio 1050 m²
"SQNW 306 Bloco C
                                    NOROESTE, BRASILIA",1220000,64,"19.062,50","64 a 219 m²

2 a 3 quartos

3 plantas",URBAN 306,Descrição não encontrada,Apartamento 64 a 219 m²
"SHIS QI 29, LAGO SUL, BRASILIA",3690000,440,"8.386,36","440 m²


5 Quartos


5 Suítes


4 Vagas","Oportunidade - Casa Magnífica, Elegante, Impecável, Local Nobre e seguro","Magnífico sobrado – Escriturado – com Habite-se - SHIS QI 29 
OBS.: ACEITA FINANCIAMENTO e FGTS

Um sobrado de alto padr... 10/12/24",Venda Casa 440 m²
